Municipio,Categoría,SO2
Pesquería,Agropecuarias,1.64
Pesquería,Almacenamiento y transporte de derivados de petróleo,0.0
Pesquería,Automotriz ,0.0
Pesquería,Carreteras,0.54
Pesquería,Emisiones biogénicas,0.0
Pesquería,Fuentes industriales ligeras y comerciales,0.0
Pesquería,Fuentes misceláneas,0.43
Pesquería,Generación de energía eléctrica ,29.43
Pesquería,Manejo de Residuos,0.0
Pesquería,Metalúrgica (incluye la siderúrgica) ,0.22
Pesquería,Minerales no metálicos,0.04
Pesquería,No carreteras,1.27
Pesquería,Pinturas y tintas ,0.01
Pesquería,Quema de combustibles en fuentes estacionarias,0.07
Pesquería,Química ,0.01
Pesquería,Tratamiento de residuos peligrosos ,0.0
Pesquería,Uso de Solventes,0.0
Salinas Victoria,Agropecuarias,0.18
Salinas Victoria,Almacenamiento y transporte de derivados de petróleo,0.0
Salinas Victoria,Carreteras,0.65
Salinas Victoria,Emisiones biogénicas,0.0
Salinas Victoria,Fuentes industriales ligeras y comerciales,0.0
Salinas Victoria,Fuentes misceláneas,0.0
Salinas Victoria,Generación de energía eléctrica ,0.45
Salinas Victoria,Manejo de Residuos,0.0
Salinas Victoria,Metalúrgica (incluye la siderúrgica) ,0.0
Salinas Victoria,Minerales no metálicos,0.0
Salinas Victoria,No carreteras,1.57
Salinas Victoria,Plástico y hule,0.0
Salinas Victoria,Quema de combustibles en fuentes estacionarias,0.17
Salinas Victoria,Química ,0.0
Salinas Victoria,Tratamiento de residuos peligrosos ,0.0
Salinas Victoria,Uso de Solventes,0.0
San Nicolás de los Garza,"Accesorios, aparatos eléctricos y equipos de generación eléctrica",0.03
San Nicolás de los Garza,Agropecuarias,0.0
San Nicolás de los Garza,Alimentos y bebidas,0.1
San Nicolás de los Garza,Almacenamiento y transporte de derivados de petróleo,0.0
San Nicolás de los Garza,Automotriz ,0.0
San Nicolás de los Garza,Carreteras,18.18
San Nicolás de los Garza,Celulosa y papel ,1.05
San Nicolás de los Garza,Emisiones biogénicas,0.0
San Nicolás de los Garza,Fuentes industriales ligeras y comerciales,0.0
San Nicolás de los Garza,Fuentes misceláneas,0.22
San Nicolás de los Garza,Generación de energía eléctrica ,0.34
San Nicolás de los Garza,Impresión,0.0
San Nicolás de los Garza,Manejo de Residuos,0.0
San Nicolás de los Garza,Metalúrgica (incluye la siderúrgica) ,2.15
San Nicolás de los Garza,Metálico,0.03
San Nicolás de los Garza,No carreteras,0.0
San Nicolás de los Garza,Pinturas y tintas ,0.07
San Nicolás de los Garza,Plástico y hule,0.0
San Nicolás de los Garza,Quema de combustibles en fuentes estacionarias,0.5700000000000001
San Nicolás de los Garza,Química ,6667.6
San Nicolás de los Garza,Uso de Solventes,0.0
San Nicolás de los Garza,Vidrio,0.0
San Pedro Garza García,Agropecuarias,0.0
San Pedro Garza García,Alimentos y bebidas,0.01
San Pedro Garza García,Almacenamiento y transporte de derivados de petróleo,0.0
San Pedro Garza García,Carreteras,7.87
